Employee ID,Employee Name,Gender,Profession,Profession Group,Date of Birth,Age,Hire Date,Resignation Date
295,"Yanti Firmansyah, Dra.",F,Management,Non Medical,1978-10-11,47,05/05/1999,
296,"dr. Taufik Pratama, Sp.PD",M,Specialist Doctor,Medical,1973-02-13,53,12/09/2012,
297,Dr. Linda Utomo,F,Nurse,Medical,1972-04-04,54,17/04/1992,
298,"Fani Pasaribu, Sp.Farm",F,Pharmacist,Medical,1981-06-06,44,01/03/2017,
299,"Diana Permana, A.Md.Kep",F,Nurse,Medical,1995-12-12,30,29/08/2021,
300,"Rina Suprapto, S.Ak",F,Finance,Non Medical,1967-10-25,58,24/01/1990,
301,"Joko Malik, M.Kes",M,Medical Support,Medical,1976-05-28,49,29/09/2004,21/03/2014
302,"Bella Priyanto, SST",F,Midwife,Medical,1979-06-15,46,29/06/2002,
303,Dedi Panjaitan,M,Laundry Staff,Non Medical,1978-04-02,48,26/10/2006,
304,"Silvi Suprapto, S.Sos",F,Administration,Non Medical,1971-03-31,55,26/11/2010,
305,"Bella Widodo, S.Kep",F,Nurse,Medical,1970-07-11,55,17/10/2005,
306,Citra Hutapea,F,Cleaning Service,Non Medical,1989-08-22,36,20/02/2010,
307,Dr. Linda Prabowo,F,Nurse,Medical,1976-08-06,49,22/03/2016,21/05/2022
308,"dr. Rina Malik, Sp.An",F,Specialist Doctor,Medical,1979-10-31,46,17/04/2009,
309,Ratna Purwanto,F,Finance,Non Medical,1966-02-12,60,06/07/1993,11/07/2006
310,Bambang Suryanto,M,Cleaning Service,Non Medical,1989-10-13,36,23/03/2008,16/03/2015
311,Wawan Hakim,M,Security,Non Medical,2002-07-04,23,29/09/2025,
312,"Ayu Santoso, Ners",F,Nurse,Medical,2000-01-22,26,03/03/2019,
313,"Cahyo Manurung, A.Md.Kep",M,Nurse,Medical,2003-11-16,22,11/12/2025,
314,"Hendra Raharjo, S.Si",M,Laboratory Analyst,Medical,1973-03-29,53,05/07/1991,
315,"Ani Pratama, M.Kom",F,IT Team,Non Medical,1986-03-12,40,04/01/2007,
316,"Mira Panjaitan, M.Kep",F,Nurse,Medical,1994-02-23,32,21/09/2020,
317,"Fitri Hakim, S.Tr.Kom",F,IT Team,Non Medical,1995-02-13,31,28/05/2019,
318,Putri Hermawan,F,Medical Records,Non Medical,1994-06-29,31,16/11/2015,
319,Silvi Panjaitan,F,Security,Non Medical,1977-11-15,48,19/10/2009,
320,"Zahra Gunawan, M.Kep",F,Nurse,Medical,1996-12-24,29,03/09/2019,
321,"Hesti Sugiarto, M.Kep",F,Nurse,Medical,1993-07-17,32,15/09/2024,23/12/2025
322,"Lukman Situmorang, A.Md.RMIK",M,Medical Records,Non Medical,1969-08-08,56,25/01/1988,
323,Ayu Gunawan,F,Nurse,Medical,1973-06-26,52,05/12/2013,20/06/2018
324,"Lestari Hidayat, M.Ked",F,Doctor,Medical,1986-10-08,39,10/03/2008,
325,Widya Setiadi,F,Cleaning Service,Non Medical,2002-10-01,23,30/04/2024,
326,"Retno Rahman, M.M",F,Administration,Non Medical,1982-12-03,43,02/08/2022,
327,"Zahra Tampubolon, M.Kep",F,Nurse,Medical,2001-09-30,24,30/07/2020,11/02/2025
328,"Intan Suryanto, Sp.Kep",F,Nurse,Medical,1991-11-23,34,21/05/2009,
329,Dr. Dewi Kurniawan,F,Nurse,Medical,1974-01-11,52,17/10/1997,
330,"Yoga Situmorang, A.Md.RMIK",M,Medical Records,Non Medical,1997-12-19,28,06/09/2015,
331,"Rini Wijayanto, S.T",F,IT Team,Non Medical,1991-02-27,35,23/09/2015,21/11/2016
332,Widya Hutabarat,F,Cleaning Service,Non Medical,1972-12-06,53,21/12/1994,
333,dr. Cahyo Pratama,M,Doctor,Medical,2001-08-02,24,16/05/2021,
334,"Zahra Sari, MBBS",F,Doctor,Medical,1989-08-20,36,21/02/2009,
335,Dewi Hermawan,F,Laundry Staff,Non Medical,1968-10-23,57,17/01/2007,
336,"Zulkifli Wijaya, M.Kep",M,Nurse,Medical,1987-01-07,39,02/05/2025,
337,"Kartika Prabowo, A.Md.Kes",F,Blood Bank Officer,Medical,1991-11-08,34,05/11/2024,
338,Fani Susanto,F,Laundry Staff,Non Medical,1994-06-19,31,13/05/2015,
339,Ani Panjaitan,F,Administration,Non Medical,1971-06-02,54,09/06/2004,
340,"dr. Wahyu Lubis, Sp.PA",M,Specialist Doctor,Medical,1992-08-03,33,11/11/2015,
341,Wahyu Hutapea,M,Laundry Staff,Non Medical,1994-06-18,31,23/08/2014,
342,"Ade Suryanto, M.M",M,Administration,Non Medical,1968-04-09,58,14/06/1988,02/12/2000
343,"Zulkifli Nugroho, A.Md.Kep",M,Nurse,Medical,2001-11-16,24,20/06/2024,
344,"Yanti Lubis, MBA",F,Management,Non Medical,2000-08-04,25,13/12/2024,
345,"Ika Firmansyah, A.Md.Kep",F,Nurse,Medical,1969-12-30,56,24/12/1991,
346,"Prasetyo Setiawan, M.M",M,Administration,Non Medical,1995-11-19,30,25/03/2021,
347,"Iwan Wijaya, A.Md",M,Administration,Non Medical,1983-01-10,43,26/03/2011,
348,"Hendra Sinaga, S.Ked",M,Doctor,Medical,1972-10-29,53,03/08/1993,
349,"Nanang Rahman, S.KM",M,Medical Records,Non Medical,1967-06-25,58,24/08/1991,
350,"Rina Sari, M.Kep",F,Nurse,Medical,1967-10-16,58,22/06/1991,
351,"Lukman Simanjuntak, M.Ft",M,Physiotherapist,Medical,1969-05-04,57,05/02/1988,
352,Dr. Zara Santoso,F,Nurse,Medical,1973-09-21,52,20/09/1999,
353,Usman Raharjo,M,Cleaning Service,Non Medical,1995-08-22,30,02/11/2025,
354,"Vina Pratama, S.Ak",F,Finance,Non Medical,1982-10-14,43,05/12/2019,
355,Sari Priyanto,F,Blood Bank Officer,Medical,1987-01-26,39,14/12/2012,
356,"Farhan Prasetyo, Bd.",M,Midwife,Medical,1997-12-09,28,03/03/2019,
357,"Rudi Setiawan, S.T",M,IT Team,Non Medical,1973-08-03,52,07/12/2000,07/01/2007
358,"Ratna Wibowo, M.T",F,IT Team,Non Medical,2000-04-07,26,02/06/2018,
359,"Nanang Siregar, Sp.Farm",M,Pharmacist,Medical,1990-06-17,35,16/03/2010,
360,"Retno Hermawan, S.Farm",F,Pharmacist,Medical,1982-05-29,43,15/02/2014,
361,"Fajar Kusuma, M.Kep",M,Nurse,Medical,1974-03-03,52,31/05/2000,
362,"Indah Setiawan, M.Biomed",F,Laboratory Analyst,Medical,1966-09-01,59,18/01/2000,
363,"drg. Oki Malik, Sp.Perio",M,Specialist Doctor,Medical,1996-10-09,29,26/05/2023,
364,"Yanti Kurniawan, S.Ft",F,Physiotherapist,Medical,2001-07-14,24,27/06/2024,
365,"Nugroho Budiman, Sp.Kep",M,Nurse,Medical,1986-11-04,39,20/07/2011,02/01/2014
366,"Mira Simbolon, Ners",F,Nurse,Medical,1982-10-14,43,24/01/2003,
367,"Candra Putra, S.KM",M,Medical Records,Non Medical,1981-06-21,44,18/09/2007,24/03/2019
368,Citra Simanjuntak,F,Cleaning Service,Non Medical,1990-02-11,36,01/01/2017,
369,"Nugroho Pasaribu, M.T",M,Management,Non Medical,1981-07-31,44,13/08/2020,
370,"Ratna Suryanto, S.T",F,Management,Non Medical,1994-11-11,31,31/01/2014,
371,Sinta Suprapto,F,Nurse,Medical,1984-08-02,41,08/10/2004,
372,"dr. Retno Firmansyah, Sp.RM",F,Specialist Doctor,Medical,1999-07-18,26,30/12/2022,
373,Gilang Wijaya,M,Cleaning Service,Non Medical,1988-07-27,37,02/12/2017,
374,"Lestari Hartono, A.Md.RMIK",F,Medical Records,Non Medical,1979-03-11,47,05/10/2015,
375,"Fani Suprapto, M.Keb",F,Midwife,Medical,1998-01-26,28,27/12/2016,11/05/2025
376,Intan Priyanto,F,Cleaning Service,Non Medical,1995-06-15,30,16/07/2021,
377,"Irfan Sugiarto, M.Kes",M,Medical Support,Medical,2002-07-09,23,29/03/2025,
378,Puspita Prasetyo,F,CSSD,Non Medical,1991-04-04,35,15/09/2024,
379,"Galih Simbolon, S.Kes",M,Casemix / BPJS Claim,Non Medical,2002-11-27,23,09/12/2025,
380,"Silvi Sari, MARS",F,Management,Non Medical,1986-01-25,40,15/06/2019,
381,"Ika Budiman, M.Kep",F,Nurse,Medical,1988-06-30,37,19/07/2024,
382,"Rudi Nugroho, A.Md.Kep",M,Nurse,Medical,1999-09-11,26,28/06/2019,
383,"dr. Rahmat Priyanto, Sp.B",M,Specialist Doctor,Medical,1968-03-30,58,13/03/1991,06/06/2010
384,Wahyu Pratama,M,Security,Non Medical,1969-04-07,57,05/10/2004,
385,"Puspita Malik, M.Kep",F,Nurse,Medical,1993-05-08,33,05/03/2025,
386,Nadia Widodo,F,Nurse,Medical,1999-02-21,27,26/07/2018,
387,Gilang Gunawan,M,Doctor,Medical,1992-02-05,34,13/06/2023,
388,"Intan Simanjuntak, M.Kep",F,Nurse,Medical,1995-03-19,31,01/12/2024,
389,"Diah Simbolon, Ners",F,Nurse,Medical,2001-06-17,24,20/03/2024,
390,Indra Setiadi,M,Ambulance Driver,Non Medical,1991-03-17,35,08/02/2024,
391,Indra Sugiarto,M,Medical Support,Medical,1986-04-24,40,18/08/2013,
392,Diah Hartono,F,Laundry Staff,Non Medical,1978-06-29,47,14/09/2001,
393,"Yoga Suprapto, A.Md.T",M,Building Technician,Non Medical,1967-09-13,58,19/06/1985,17/03/1997
394,Nadia Hakim,F,Nurse,Medical,1977-09-30,48,28/09/2015,
395,"Elia Raharjo, Ners",F,Nurse,Medical,1989-04-24,37,13/05/2007,
396,"Endah Santoso, SST",F,Midwife,Medical,1993-02-05,33,22/12/2023,
397,Hendra Simanjuntak,M,Security,Non Medical,1996-01-05,30,04/02/2020,
398,"Ani Prabowo, A.Md.Kep",F,Nurse,Medical,1990-02-16,36,04/03/2010,01/03/2018
399,"Cahyo Situmorang, SST",M,Radiographer,Medical,1980-03-28,46,20/07/2000,
400,"Teguh Lubis, Drs.",M,Management,Non Medical,1996-02-06,30,19/03/2023,
401,"Budi Suryanto, Sp.Kep",M,Nurse,Medical,1985-08-19,40,24/05/2009,
402,Slamet Hakim,M,Management,Non Medical,1993-04-24,33,29/10/2021,
403,Fitri Prabowo,F,Cleaning Service,Non Medical,1980-03-21,46,26/07/2001,
404,"Purwanto Nasution, M.KM",M,Medical Records,Non Medical,1987-08-14,38,14/04/2009,
405,"dr. Linda Sinaga, Sp.RM",F,Specialist Doctor,Medical,1987-06-15,38,20/11/2017,
406,"Wawan Kusuma, A.Md.Kes",M,Blood Bank Officer,Medical,1971-09-09,54,05/12/2000,
407,Retno Nasution,F,Administration,Non Medical,1969-04-28,57,27/12/1992,
408,"Mega Maulana, S.Keb",F,Midwife,Medical,1989-10-16,36,12/02/2021,
409,"Maya Setiawan, S.T",F,Building Technician,Non Medical,1991-08-04,34,29/07/2020,
410,Dr. Yanto Permana,M,Nurse,Medical,1991-11-28,34,08/03/2010,
411,"Hendra Kusuma, MARS",M,Casemix / BPJS Claim,Non Medical,1994-03-24,32,14/05/2020,
412,"dr. Kusuma Tampubolon, Sp.P",M,Specialist Doctor,Medical,1982-08-13,43,17/02/2011,
413,Ade Nasution,M,Cleaning Service,Non Medical,1968-12-03,57,08/01/2002,
414,"Lukas Sitompul, S.Tr.Kes",M,CSSD,Non Medical,1973-05-22,52,31/05/1998,
415,"dr. Dwi Widodo, Sp.M",M,Specialist Doctor,Medical,2000-03-04,26,30/07/2019,
416,"Dimas Hartono, M.M",M,Administration,Non Medical,1980-11-18,45,22/04/2007,
417,"Mira Maulana, M.Kes",F,Medical Support,Medical,1969-04-25,57,26/03/2004,
418,"Irfan Lubis, MD",M,Doctor,Medical,1995-05-17,30,30/10/2013,
419,"Hendra Nugroho, A.Md",M,Administration,Non Medical,2001-12-14,24,05/01/2020,
420,"Zahra Sinaga, A.Md",F,Administration,Non Medical,1966-07-15,59,27/07/1990,
421,Wawan Manurung,M,Security,Non Medical,2001-05-13,24,03/07/2022,
422,"Dedi Setiadi, Ners",M,Nurse,Medical,1971-04-06,55,20/10/1999,
423,"Purwanto Hutabarat, A.Md.Kes",M,Medical Support,Medical,1988-07-30,37,12/09/2013,
424,"Nanang Hutabarat, M.KM",M,Medical Records,Non Medical,1971-05-06,55,07/07/2010,
425,"Sinta Pratama, A.Md.Kep",F,Nurse,Medical,1999-08-31,26,15/02/2022,
426,"Tri Manurung, S.Kep",F,Nurse,Medical,1990-09-06,35,02/10/2024,
427,Lukman Suryanto,M,Medical Support,Medical,1975-05-26,50,23/02/1996,
428,Dr. Mega Putra,F,Doctor,Medical,1980-09-11,45,02/06/2018,
429,"Firmansyah Hutabarat, S.Ked",M,Doctor,Medical,1992-11-09,33,13/10/2023,
430,"Lestari Suryanto, Ners",F,Nurse,Medical,2002-07-27,23,20/08/2022,
431,"Sri Budiman, M.KM",F,Medical Records,Non Medical,1986-08-19,39,16/12/2011,
432,Budi Siregar,M,Security,Non Medical,1980-08-06,45,12/05/2013,
433,"Diana Manurung, Sp.Kep",F,Nurse,Medical,1965-09-25,60,28/01/1992,
434,Joko Hutabarat,M,Cleaning Service,Non Medical,1990-07-26,35,27/04/2009,
435,"Sri Hidayat, S.Tr.Kes",F,CSSD,Non Medical,1993-05-22,32,01/12/2016,22/12/2025
436,Sinta Hidayat,F,Administration,Non Medical,1968-06-19,57,09/10/2002,
437,Dimas Raharjo,M,Management,Non Medical,1988-11-27,37,26/06/2014,
438,"drg. Bambang Panjaitan, Sp.KGA",M,Specialist Doctor,Medical,1971-10-22,54,14/09/2002,
439,Ningsih Simanjuntak,F,Laundry Staff,Non Medical,1980-11-07,45,12/08/2002,
440,Dr. Hendra Suryanto,M,Nurse,Medical,1988-03-27,38,22/02/2024,
441,"Tri Suryanto, M.Kep",F,Nurse,Medical,1997-04-25,29,26/06/2017,
442,Prasetyo Pasaribu,M,Cleaning Service,Non Medical,1967-05-10,58,30/12/1991,
443,"Elia Setiawan, RD",F,Nutritionist,Medical,1970-09-20,55,12/11/2004,
444,"Putri Sari, Sp.Kep",F,Nurse,Medical,1982-06-28,43,15/03/2022,
445,"Mega Sinaga, M.Ak",F,Finance,Non Medical,1975-06-15,50,20/01/2011,
446,"Kurniawan Hutapea, A.Md.Rad",M,Radiographer,Medical,1985-07-17,40,15/04/2022,
447,Rahmat Susanto,M,Security,Non Medical,1977-06-18,48,24/01/2004,
448,"Putri Simbolon, S.Keb",F,Midwife,Medical,1991-08-27,34,17/06/2018,
449,Lukman Gunawan,M,CSSD,Non Medical,1979-12-22,46,12/03/2009,
450,"Budi Prabowo, S.T",M,Building Technician,Non Medical,1995-06-16,30,17/03/2025,
451,"Nanang Siregar, MBA",M,Management,Non Medical,1989-11-05,36,11/04/2021,
452,"Wati Nugroho, S.Adm",F,Administration,Non Medical,1990-05-09,35,09/03/2017,
453,Dr. Lestari Priyanto,F,Nurse,Medical,1969-11-21,56,12/06/1998,
454,Dr. Yanto Putra,M,Nurse,Medical,1984-03-05,42,13/08/2008,
455,"Indah Situmorang, M.KM",F,Medical Records,Non Medical,1972-10-22,53,17/07/2004,
456,Dr. Citra Wijayanto,F,Nurse,Medical,1965-07-03,60,01/12/1985,
457,"Galih Lubis, Sp.Kep",M,Nurse,Medical,1988-06-25,37,27/10/2025,
458,"Sinta Rahman, A.Md.T",F,Building Technician,Non Medical,1989-07-29,36,14/02/2008,
459,"Tuti Prabowo, S.Ked",F,Doctor,Medical,1994-07-06,31,07/10/2021,
460,"Yanto Hakim, Pharm.D",M,Pharmacist,Medical,1996-09-18,29,23/05/2015,
461,Dr. Haris Priyanto,M,Doctor,Medical,2000-08-28,25,01/01/2021,
462,"Retno Firmansyah, S.Kep",F,Nurse,Medical,1974-09-03,51,07/03/2003,
463,Wulan Maulana,F,Nurse,Medical,1994-11-04,31,05/03/2012,
464,Nanang Raharjo,M,Medical Records,Non Medical,1981-04-27,45,08/12/2015,
465,"Dewi Wijayanto, A.Md.Kep",F,Nurse,Medical,1995-01-24,31,22/03/2015,
466,Hendra Rahman,M,Security,Non Medical,1994-11-15,31,09/12/2022,
467,Teguh Purwanto,M,Cleaning Service,Non Medical,1995-11-03,30,09/08/2024,
468,Mahendra Priyanto,M,Cleaning Service,Non Medical,1980-05-19,45,27/10/2018,
469,Wati Lubis,F,Laundry Staff,Non Medical,1974-01-11,52,09/10/2002,
470,"Budi Wijayanto, S.E",M,Administration,Non Medical,1969-09-24,56,25/12/1999,
471,"Tri Firmansyah, S.Si",F,Laboratory Analyst,Medical,1979-03-24,47,14/01/1998,
472,Vera Wijayanto,F,Laundry Staff,Non Medical,1994-04-29,32,25/05/2014,
473,"Novita Manurung, S.Ked",F,Doctor,Medical,2003-10-31,22,25/12/2025,
474,"Yuni Sitompul, A.Md.Kes",F,Medical Support,Medical,1996-11-13,29,21/04/2016,
475,Teguh Gunawan,M,Physiotherapist,Medical,1973-05-20,52,27/05/1991,
476,"Rahmat Kurniawan, A.Md.Kes",M,Laboratory Analyst,Medical,1976-10-05,49,06/12/1996,
477,"Sri Hutapea, S.Adm",F,Administration,Non Medical,1989-12-18,36,26/03/2022,
478,Tri Prasetyo,F,Nurse,Medical,1993-02-09,33,23/06/2016,
479,"Tri Pasaribu, MBBS",F,Doctor,Medical,1972-06-17,53,27/08/1993,12/05/1999
480,"Diana Setiadi, M.Kep",F,Nurse,Medical,1988-07-27,37,05/03/2011,
481,Hesti Sugiarto,F,Cleaning Service,Non Medical,1992-02-03,34,02/09/2024,
482,"Yuliana Wibowo, DrPH",F,Casemix / BPJS Claim,Non Medical,1972-06-25,53,18/03/1995,
483,Dr. Hesti Permana,F,Nurse,Medical,1973-01-07,53,14/06/2006,11/04/2025
484,"dr. Dewi Budiman, Sp.THT",F,Specialist Doctor,Medical,1995-08-17,30,29/09/2020,
485,"Ani Firmansyah, M.Kes",F,Medical Support,Medical,1968-10-22,57,28/03/2001,02/11/2018
486,Farhan Suryanto,M,CSSD,Non Medical,1972-11-02,53,22/11/2006,
487,Dwi Purwanto,M,Physiotherapist,Medical,1967-12-17,58,01/07/2001,
488,"drg. Galih Rahman, Sp.Ort",M,Specialist Doctor,Medical,1981-07-28,44,28/04/2006,
489,Linda Pasaribu,F,Cleaning Service,Non Medical,1976-10-26,49,16/10/2008,
490,Zara Siahaan,F,Administration,Non Medical,2001-10-31,24,10/07/2024,
491,"Tri Maulana, M.Keb",F,Midwife,Medical,1995-08-02,30,06/02/2017,
492,"Ika Wijaya, S.KM",F,Casemix / BPJS Claim,Non Medical,1988-04-02,38,23/07/2015,
493,"Ayu Wijaya, A.Md.Keb",F,Midwife,Medical,1966-03-16,60,31/05/2001,
494,"Lukman Suryanto, S.Tr.Kes",M,Laboratory Analyst,Medical,2001-04-21,25,25/02/2021,
495,"Putri Kusuma, S.Kep",F,Nurse,Medical,1989-01-31,37,13/05/2021,05/01/2022
496,"Vera Siahaan, A.Md.Kom",F,IT Team,Non Medical,1987-05-01,39,12/11/2022,
497,"Putri Panjaitan, S.Kep",F,Nurse,Medical,1969-04-13,57,04/06/2009,
498,"Yoga Situmorang, S.T",M,Building Technician,Non Medical,1998-08-13,27,15/10/2025,
499,"Ratna Nasution, S.Keb",F,Midwife,Medical,1993-12-21,32,19/07/2017,
500,Eko Suryanto,M,Ambulance Driver,Non Medical,1972-04-03,54,28/01/1992,
501,Oki Utomo,M,Security,Non Medical,1991-01-01,35,20/05/2022,
502,"Gilang Sari, M.Kes",M,Medical Support,Medical,1995-06-04,30,31/01/2022,
503,"Ani Wijaya, S.Ak",F,Finance,Non Medical,1993-09-24,32,13/06/2013,28/08/2015
504,"Rahmat Tampubolon, S.Tr.Rad",M,Radiographer,Medical,1988-07-19,37,28/03/2020,
505,Indra Rahman,M,Finance,Non Medical,1969-10-25,56,23/04/1989,
506,"Kurniawan Hakim, A.Md.Kes",M,Medical Support,Medical,1988-01-31,38,16/11/2018,
507,"dr. Prasetyo Wibowo, Sp.A",M,Specialist Doctor,Medical,2003-05-02,23,10/12/2025,
508,"Mega Raharjo, M.Keb",F,Midwife,Medical,1976-09-18,49,26/11/2008,12/11/2023
509,Mahendra Tampubolon,M,Ambulance Driver,Non Medical,1996-01-26,30,02/03/2019,
510,Elia Sari,F,Midwife,Medical,1992-05-01,34,12/01/2015,
511,"Agus Sugiarto, M.Ked",M,Doctor,Medical,2001-11-26,24,01/03/2024,24/02/2025
512,"Mega Santoso, A.Md.Keb",F,Midwife,Medical,1972-10-23,53,30/03/2004,
513,"Lestari Malik, Sp.Kep",F,Nurse,Medical,1997-01-11,29,23/08/2018,29/06/2022
514,"Kartika Rahman, M.Gz",F,Nutritionist,Medical,1997-01-04,29,01/07/2019,
515,"Tri Priyanto, Sp.Farm",F,Pharmacist,Medical,2002-11-11,23,16/04/2020,
516,"Slamet Purwanto, M.Adm.Kes",M,Management,Non Medical,1979-07-26,46,09/07/1998,
517,"Diana Raharjo, M.Ft",F,Physiotherapist,Medical,1993-12-01,32,01/08/2014,13/12/2024
518,Dr. Vera Hermawan,F,Nurse,Medical,2002-10-05,23,15/05/2023,
519,Nugroho Purwanto,M,Security,Non Medical,1991-10-01,34,02/08/2021,
520,"Nugroho Nugroho, S.Sos",M,Administration,Non Medical,1975-03-02,51,06/06/2003,
521,"Hadi Prasetyo, MARS",M,Management,Non Medical,1990-03-04,36,21/09/2017,
522,Joko Susanto,M,Administration,Non Medical,1985-04-08,41,15/01/2009,
523,"Wati Suprapto, S.Si",F,Laboratory Analyst,Medical,1975-01-13,51,10/04/2008,
524,Bella Putra,F,Administration,Non Medical,1986-07-03,39,13/01/2024,
525,Mega Siregar,F,Medical Support,Medical,2003-06-02,22,15/04/2021,
526,Agus Tampubolon,M,Doctor,Medical,1992-11-18,33,07/05/2013,
527,"Hesti Sinaga, Apt.",F,Pharmacist,Medical,1976-04-25,50,18/03/2011,
528,Puspita Wibowo,F,Building Technician,Non Medical,1999-12-01,26,28/07/2025,
529,Diana Prabowo,F,Electromedical Technician,Medical,2000-03-08,26,03/06/2024,
530,"Mega Simanjuntak, Pharm.D",F,Pharmacist,Medical,1971-12-11,54,04/04/2005,
531,"Fitri Setiawan, S.Gz",F,Nutritionist,Medical,1991-04-27,35,30/05/2024,
532,"Citra Sitompul, MARS",F,Casemix / BPJS Claim,Non Medical,1974-02-13,52,19/08/2000,
533,Vera Priyanto,F,Physiotherapist,Medical,1985-12-05,40,01/04/2024,
534,Ratna Wijayanto,F,Cleaning Service,Non Medical,1975-11-25,50,01/07/2000,
535,"Yanti Kurniawan, Ners",F,Nurse,Medical,1997-05-03,29,27/09/2019,
536,"Taufik Putra, Sp.Kep",M,Nurse,Medical,1969-06-08,56,12/04/1994,
537,"Zainal Pratama, S.Ft",M,Physiotherapist,Medical,1984-11-14,41,30/09/2024,
538,Agus Saputra,M,Cleaning Service,Non Medical,1972-01-29,54,12/09/1997,29/06/2001
539,Endah Wibowo,F,Security,Non Medical,2000-12-27,25,28/08/2025,
540,"Endah Utomo, S.Kes",F,Medical Support,Medical,1974-06-21,51,15/03/2004,
541,"Dwi Rahman, M.Ked",M,Doctor,Medical,1978-09-28,47,07/02/2013,
542,"Firmansyah Hermawan, M.Ked",M,Doctor,Medical,2003-02-20,23,24/02/2021,
543,"Galih Tampubolon, SST",M,Radiographer,Medical,2002-05-26,23,10/09/2022,12/12/2024
544,"dr. Yoga Maulana, Sp.Rad",M,Specialist Doctor,Medical,1989-01-17,37,11/12/2008,
545,"Elia Setiadi, A.Md",F,Administration,Non Medical,1968-02-21,58,03/03/1999,25/07/2005
546,"Indra Manurung, S.E",M,Management,Non Medical,2002-02-20,24,10/12/2022,
547,"Cahyo Permana, Dra.",M,Management,Non Medical,1975-05-30,50,26/11/2000,14/07/2002
548,Irfan Hutabarat,M,Security,Non Medical,2001-12-14,24,28/09/2025,
549,Ika Situmorang,F,Management,Non Medical,1978-07-27,47,04/09/2007,
550,"dr. Firmansyah Saputra, Sp.Rad",M,Specialist Doctor,Medical,1984-07-19,41,05/03/2013,
551,Dr. Fani Siahaan,F,Nurse,Medical,1997-06-17,28,25/06/2020,
552,Bambang Hutabarat,M,Laboratory Analyst,Medical,1998-11-27,27,11/04/2019,
553,"Lestari Siahaan, S.Kes",F,Casemix / BPJS Claim,Non Medical,1971-12-21,54,19/06/2006,
554,dr. Ratna Susanto,F,Doctor,Medical,1984-01-30,42,15/01/2016,
555,"Widya Pasaribu, M.Keb",F,Midwife,Medical,1988-07-11,37,26/06/2010,
556,"dr. Sri Tampubolon, Sp.OG",F,Specialist Doctor,Medical,1997-11-15,28,19/07/2021,23/09/2022
557,"Ani Panjaitan, Pharm.D",F,Pharmacist,Medical,1992-09-07,33,26/07/2020,
558,"Nugroho Purwanto, A.Md.Kep",M,Nurse,Medical,1970-07-19,55,17/07/2004,30/10/2008
559,"Citra Simanjuntak, MARS",F,Management,Non Medical,1979-02-24,47,07/05/2019,
560,"Intan Prasetyo, S.Kep",F,Nurse,Medical,1988-09-20,37,07/01/2007,
561,Endah Wijayanto,F,Cleaning Service,Non Medical,1983-08-11,42,24/06/2023,
562,"Ani Tampubolon, SST",F,Midwife,Medical,1996-04-14,30,21/06/2015,
563,"Bayu Simanjuntak, M.Biomed",M,Laboratory Analyst,Medical,1992-07-11,33,08/10/2018,26/10/2024
564,Dr. Bayu Permana,M,Nurse,Medical,1982-01-13,44,29/08/2011,
565,Eko Nasution,M,Laundry Staff,Non Medical,1994-04-26,32,01/03/2013,
566,"Maya Firmansyah, A.Md.Kes",F,Medical Support,Medical,1990-12-25,35,21/08/2012,30/12/2024
567,"Maya Santoso, A.Md.ELM",F,Electromedical Technician,Medical,1992-02-17,34,06/10/2019,
568,"Sinta Hutabarat, S.Keb",F,Midwife,Medical,1991-03-07,35,01/10/2014,
569,"Mira Nasution, S.Kes",F,Medical Support,Medical,1994-07-04,31,29/02/2024,
570,"Wati Wijayanto, S.Kep",F,Nurse,Medical,1978-03-03,48,18/04/2009,
571,"Bella Nasution, Ners",F,Nurse,Medical,1991-09-25,34,15/11/2018,
572,"Mira Pratama, Sp.Kep",F,Nurse,Medical,2002-01-26,24,24/06/2025,
573,"Vina Simbolon, M.T",F,IT Team,Non Medical,1965-09-05,60,11/03/1993,
574,Agus Hutabarat,M,Security,Non Medical,1985-11-09,40,28/06/2012,
575,"Lestari Pasaribu, A.Md.AK",F,Laboratory Analyst,Medical,1967-12-17,58,03/07/1994,
576,Slamet Hermawan,M,Medical Records,Non Medical,1984-08-06,41,18/04/2023,
577,"Sinta Pasaribu, M.Kom",F,IT Team,Non Medical,1976-12-17,49,09/11/2000,
578,"Sinta Rahman, Ners",F,Nurse,Medical,2000-04-01,26,19/11/2020,
579,Dedi Setiawan,M,K3 / Occupational Health & Safety,Non Medical,1996-08-07,29,11/06/2024,
580,Ani Utomo,F,Cleaning Service,Non Medical,1989-02-08,37,24/06/2016,
581,"Nadia Hakim, S.Kep",F,Nurse,Medical,1967-05-08,59,12/04/1995,
582,"Hendra Santoso, MARS",M,Casemix / BPJS Claim,Non Medical,1996-01-06,30,10/01/2020,
583,"Widya Saputra, Ners",F,Nurse,Medical,2003-08-12,22,02/07/2023,
584,Haris Priyanto,M,Physiotherapist,Medical,1982-08-03,43,01/04/2011,
585,"Gilang Maulana, A.Md.Kep",M,Nurse,Medical,1996-09-08,29,02/11/2022,13/04/2024
586,"Kartika Suryanto, A.Md",F,Administration,Non Medical,2000-08-30,25,06/01/2021,
587,"Nur Priyanto, M.Kep",F,Nurse,Medical,1991-12-18,34,20/01/2020,
588,Endah Prabowo,F,Midwife,Medical,1982-02-23,44,07/12/2012,
589,"Gunawan Pasaribu, S.Kep",M,Nurse,Medical,1995-10-04,30,11/08/2023,
